,cycle_time
0,25
1,16
2,8
3,15
4,8
5,7
6,6
7,6
8,5
9,6
10,6
11,6
12,7
13,6
14,8
15,7
16,7
17,8
18,7
19,9
20,7
21,9
22,8
23,8
24,9
25,9
26,7
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,9
38,8
39,8
40,9
41,8
42,9
43,8
44,9
45,9
46,8
47,9
48,8
49,9
50,9
51,9
52,10
53,9
54,9
55,9
56,8
57,9
58,7
59,9
60,9
61,8
62,9
63,9
64,10
65,7
66,9
67,8
68,8
69,8
70,8
71,9
72,9
73,8
74,9
75,8
76,9
77,9
78,10
79,9
80,8
81,10
82,9
83,9
84,9
85,9
86,9
87,9
88,8
89,9
90,9
91,9
92,10
93,9
94,10
95,9
96,9
97,9
98,8
99,10
100,9
101,8
102,10
103,8
104,9
105,10
106,8
107,11
108,10
109,11
110,10
111,8
112,10
113,9
114,9
115,11
116,10
117,10
118,9
119,9
120,10
121,9
122,9
123,10
124,9
125,10
126,9
127,10
128,10
129,10
130,9
131,9
132,10
133,9
134,10
135,9
136,10
137,10
138,9
139,10
140,9
141,10
142,10
143,9
144,11
145,10
146,10
147,10
148,10
149,11
150,10
151,11
152,9
153,11
154,10
155,10
156,10
157,11
158,10
159,10
160,10
161,11
162,9
163,10
164,11
165,9
166,11
167,10
168,11
169,10
170,10
171,11
172,10
173,10
174,12
175,10
176,11
177,10
178,10
179,11
180,9
181,11
182,11
183,9
184,11
185,10
186,10
187,10
188,11
189,11
190,9
191,10
192,10
193,10
194,10
195,10
196,11
197,9
198,11
199,10
200,11
201,11
202,9
203,11
204,10
205,10
206,10
207,22
208,12
209,10
210,10
211,10
212,11
213,10
214,10
215,11
216,10
217,11
218,11
219,11
220,11
221,11
222,12
223,10
224,11
225,11
226,11
227,11
228,10
229,10
230,10
231,10
232,11
233,10
234,11
235,10
236,10
237,10
238,10
239,11
240,10
241,11
242,11
243,11
244,11
245,9
246,11
247,11
248,10
249,11
250,10
251,11
252,11
253,9
254,19
255,11
256,10
257,11
258,11
259,10
260,11
261,9
262,10
263,11
264,11
265,10
266,10
267,11
268,11
269,9
270,15
271,11
272,11
273,11
274,11
275,10
276,11
277,11
278,11
279,12
280,11
281,10
282,11
283,11
284,24
285,12
286,10
287,11
288,11
289,10
290,10
291,10
292,10
293,11
294,10
295,11
296,10
297,10
298,11
299,11
300,12
301,11
302,11
303,10
304,11
305,11
306,10
307,11
308,11
309,10
310,11
311,10
312,11
313,10
314,10
315,10
316,10
317,11
318,9
319,11
320,11
321,9
322,11
323,10
324,11
325,10
326,10
327,11
328,10
329,11
330,11
331,10
332,11
333,10
334,11
335,11
336,10
337,10
338,10
339,10
340,10
341,10
342,11
343,10
344,11
345,10
346,11
347,11
348,10
349,12
350,10
351,11
352,11
353,10
354,11
355,10
356,11
357,11
358,10
359,11
360,11
361,11
362,11
363,10
364,11
365,10
366,11
367,11
368,10
369,11
370,10
371,10
372,11
373,10
374,10
375,11
376,11
377,11
378,10
379,10
380,10
381,10
382,11
383,10
384,10
385,11
386,10
387,11
388,10
389,11
390,12
391,10
392,11
393,11
394,11
395,11
396,10
397,10
398,10
399,11
400,11
401,10
402,11
403,19
404,13
405,12
406,11
407,10
408,11
409,11
410,11
411,11
412,10
413,11
414,10
415,10
416,10
417,11
418,10
419,10
420,22
421,12
422,11
423,10
424,10
425,11
426,10
427,10
428,10
429,11
430,10
431,10
432,11
433,10
434,11
435,11
436,10
437,11
438,11
439,11
440,10
441,10
442,11
443,10
444,12
445,11
446,11
447,11
448,11
449,11
450,11
451,11
452,11
453,11
454,10
455,11
456,11
457,10
458,11
459,10
460,12
461,10
462,11
463,11
464,10
465,11
466,10
467,11
468,11
469,10
470,11
471,12
472,11
473,11
474,11
475,11
476,11
477,11
478,11
479,11
480,10
481,11
482,11
483,11
484,10
485,10
486,12
487,10
488,19
489,13
490,11
491,10
492,10
493,11
494,11
495,12
496,12
497,10
498,11
499,10
500,11
501,11
502,10
503,10
504,10
505,11
506,11
507,10
508,12
509,11
510,11
511,12
512,11
513,12
514,11
515,11
516,11
517,11
518,12
519,11
520,12
521,10
522,12
523,11
524,10
525,11
526,10
527,10
528,11
529,11
530,11
531,10
532,11
533,10
534,12
535,11
536,10
537,11
538,11
539,11
540,11
541,12
542,11
543,11
544,11
545,10
546,11
547,11
548,11
549,11
550,11
551,11
552,11
553,10
554,10
555,10
556,10
557,11
558,11
559,11
560,11
561,10
562,11
563,10
564,11
565,11
566,10
567,11
568,11
569,11
570,11
571,11
572,11
573,11
574,10
