,cycle_time
0,16
1,12
2,12
3,12
4,7
5,6
6,7
7,7
8,7
9,8
10,7
11,8
12,8
13,7
14,9
15,8
16,8
17,7
18,7
19,8
20,8
21,7
22,8
23,8
24,7
25,6
26,6
27,6
28,6
29,7
30,7
31,7
32,7
33,8
34,7
35,8
36,7
37,8
38,8
39,9
40,7
41,9
42,19
43,11
44,7
45,8
46,7
47,8
48,7
49,8
50,8
51,8
52,9
53,8
54,8
55,9
56,8
57,9
58,9
59,8
60,8
61,9
62,8
63,9
64,8
65,9
66,9
67,8
68,8
69,8
70,9
71,9
72,8
73,9
74,8
75,9
76,9
77,8
78,8
79,8
80,8
81,8
82,9
83,9
84,9
85,9
86,10
87,9
88,9
89,9
90,10
91,10
92,8
93,10
94,8
95,11
96,10
97,9
98,9
99,10
100,9
101,10
102,8
103,24
104,12
105,9
106,9
107,10
108,8
109,10
110,10
111,9
112,9
113,21
114,12
115,9
116,10
117,8
118,10
119,10
120,9
121,10
122,9
123,9
124,10
125,9
126,9
127,10
128,8
129,9
130,9
131,10
132,10
133,9
134,10
135,10
136,9
137,10
138,9
139,10
140,9
141,9
142,9
143,11
144,9
145,10
146,11
147,10
148,11
149,10
150,10
151,10
152,10
153,10
154,9
155,11
156,20
157,12
158,10
159,10
160,11
161,11
162,10
163,11
164,11
165,10
166,10
167,11
168,10
169,11
170,11
171,10
172,10
173,10
174,12
175,10
176,10
177,10
178,10
179,11
180,10
181,10
182,11
183,10
184,10
185,10
186,11
187,10
188,11
189,11
190,19
191,12
192,11
193,9
194,11
195,11
196,11
197,13
198,11
199,11
200,12
201,10
202,11
203,10
204,11
205,11
206,11
207,12
208,18
209,12
210,14
211,13
212,12
213,12
214,11
215,11
216,11
217,12
218,15
219,13
220,12
221,11
222,11
223,12
224,10
225,12
226,11
227,10
228,11
229,11
230,10
231,11
232,10
233,11
234,11
235,11
236,12
237,10
238,12
239,12
240,10
241,11
242,11
243,11
244,10
245,11
246,11
247,10
248,11
249,10
250,10
251,10
252,10
253,11
254,10
255,10
256,10
257,11
258,11
259,10
260,11
261,10
262,11
263,11
264,11
265,10
266,10
267,10
268,10
269,10
270,10
271,11
272,11
273,11
274,12
275,12
276,12
277,11
278,11
279,14
280,13
281,12
282,13
283,12
284,13
285,13
286,14
287,16
288,14
289,13
290,14
291,14
292,14
293,12
294,14
295,13
296,13
297,13
298,12
299,13
300,14
301,12
302,13
303,12
304,11
305,12
306,11
307,12
308,11
309,12
310,11
311,11
312,12
313,11
314,10
315,11
316,10
317,12
318,11
319,12
320,11
321,10
322,10
323,10
324,11
325,10
326,10
327,11
328,10
329,12
330,11
331,10
332,12
333,11
334,12
335,14
336,11
337,11
338,9
339,20
340,12
341,12
342,12
343,11
344,11
345,10
346,11
347,10
348,11
349,12
350,10
351,11
352,10
353,11
354,10
355,11
356,10
357,10
358,11
359,10
360,11
361,12
362,11
363,11
364,11
365,11
366,12
367,11
368,12
369,12
370,11
371,11
372,11
373,11
374,11
375,10
376,9
377,10
378,11
379,10
380,11
381,11
382,11
383,11
384,11
385,11
386,11
387,12
388,11
389,12
390,11
391,10
392,11
393,12
394,10
395,11
396,12
397,12
398,10
399,11
400,12
401,11
402,12
403,11
404,21
405,13
406,11
407,12
408,12
409,11
410,12
411,12
412,11
413,12
414,11
415,11
416,11
417,11
418,11
419,11
420,11
421,11
422,11
423,11
424,10
425,12
426,11
427,11
428,11
429,11
430,11
431,11
432,12
433,10
434,11
435,11
436,11
437,12
438,10
439,12
440,11
441,10
442,12
443,11
444,11
445,12
446,11
447,12
448,11
449,10
450,11
451,11
452,10
453,10
454,10
455,11
456,11
457,11
458,11
459,10
460,10
461,9
462,10
463,10
464,10
465,11
466,10
467,10
468,10
469,11
470,10
471,11
472,12
473,11
474,12
475,12
476,11
477,11
478,11
479,12
480,11
481,12
482,11
483,10
484,11
485,10
486,10
487,10
488,10
489,10
490,11
491,10
492,11
493,10
494,11
495,11
496,10
497,10
498,10
499,11
500,11
501,10
502,12
503,11
504,12
505,11
506,11
507,11
508,10
509,12
510,10
511,10
512,10
513,9
514,11
515,10
516,10
517,15
518,11
519,10
520,11
521,10
522,11
523,10
524,12
525,11
526,11
527,10
528,10
529,11
530,10
531,10
532,11
533,10
534,10
535,11
536,12
537,11
538,11
539,11
540,11
541,10
542,11
543,10
544,11
545,10
546,11
547,11
548,11
549,10
550,11
551,10
552,11
553,11
554,10
555,11
556,10
557,11
