,cycle_time
0,11
1,16
2,20
3,19
4,14
5,14
6,14
7,13
8,14
9,14
10,15
11,13
12,14
13,15
14,14
15,14
16,16
17,15
18,15
19,14
20,14
21,15
22,15
23,14
24,14
25,15
26,14
27,15
28,15
29,16
30,17
31,16
32,14
33,16
34,16
35,15
36,16
37,17
38,17
39,16
40,17
41,17
42,17
43,16
44,18
45,19
46,18
47,17
48,17
49,18
50,19
51,17
52,18
53,24
54,22
55,21
56,18
57,19
58,20
59,19
60,19
61,19
62,20
63,20
64,19
65,20
66,22
67,20
68,19
69,20
70,21
71,21
72,20
73,21
74,21
75,22
76,21
77,22
78,23
79,23
80,21
81,23
82,24
83,24
84,24
85,22
86,24
87,24
88,24
89,22
90,24
91,25
92,24
93,23
94,24
95,25
96,25
97,24
98,25
99,25
100,25
101,25
102,25
103,26
104,27
105,25
106,26
107,26
108,29
109,28
110,27
111,27
112,27
113,28
114,28
115,28
116,28
117,29
118,30
119,29
120,29
121,30
122,30
123,31
124,31
125,29
126,31
127,31
128,31
129,31
130,31
131,33
132,32
133,34
134,33
135,33
136,34
137,32
138,33
139,34
140,36
141,34
142,35
143,35
144,34
145,66
146,40
147,39
148,37
149,37
150,37
151,37
152,38
153,37
154,38
155,36
156,36
157,37
158,37
159,36
160,38
161,38
162,38
163,38
164,37
165,38
166,39
167,40
168,40
169,39
170,39
171,39
172,41
173,41
174,40
175,41
176,42
177,42
178,42
179,40
180,43
181,42
182,42
183,42
184,42
185,44
186,45
187,44
188,43
189,44
190,42
191,43
192,42
193,43
194,44
195,42
196,45
197,44
198,44
199,43
200,45
201,45
202,45
203,45
204,46
205,60
206,57
207,52
208,49
209,47
210,49
211,47
212,46
213,47
214,48
215,47
216,48
217,49
218,49
219,49
220,50
221,50
222,49
223,49
224,49
225,50
226,49
227,50
228,50
229,51
230,50
231,51
232,51
233,51
234,50
235,51
236,52
237,50
238,50
239,53
240,54
241,52
242,52
243,53
244,52
245,52
246,52
247,54
248,54
249,52
250,53
251,54
252,54
253,52
254,53
255,53
256,53
257,56
258,55
259,55
260,53
261,54
262,55
263,56
264,55
265,55
266,57
267,58
268,57
269,55
270,56
271,56
272,57
273,60
274,57
275,58
276,60
277,59
278,59
279,57
280,58
281,57
282,57
283,59
284,58
285,59
286,60
287,59
288,59
289,59
290,59
291,60
292,61
293,61
294,63
295,61
296,61
297,73
298,67
299,63
300,62
301,64
302,63
303,62
304,63
305,64
306,66
307,63
308,64
309,65
310,64
311,63
312,63
313,65
314,64
315,64
316,68
317,64
318,64
319,66
320,65
321,65
322,67
323,67
324,67
325,67
326,67
327,67
328,68
329,68
330,69
331,69
332,72
333,69
334,70
335,69
336,72
337,71
338,71
339,68
340,68
341,70
342,69
343,68
344,69
345,70
346,68
347,69
348,70
349,69
350,70
351,71
352,72
353,75
354,73
355,72
356,73
357,73
358,73
359,74
360,75
361,75
362,75
363,75
364,77
365,75
366,76
367,75
368,80
369,80
370,79
371,78
372,77
373,76
374,77
375,78
376,77
377,78
378,76
379,77
380,80
381,78
382,77
383,77
384,78
385,77
386,76
387,79
388,77
389,78
390,80
391,81
392,81
393,81
394,82
395,82
396,81
397,82
398,80
399,81
400,82
401,81
402,83
403,82
404,85
405,84
406,84
407,86
408,85
409,87
410,85
